"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
"2021","Wiltshire","E06000054",215081,114886,70924,24198,4848,225
"2021","Bournemouth, Christchurch and Poole","E06000058",173842,83966,59166,24231,5889,590
"2021","Dorset","E06000059",169258,84472,59229,21130,4136,291
"2021","East Devon","E07000040",66788,33888,23621,7809,1385,85
"2021","Exeter","E07000041",52554,26181,17439,7025,1779,130
"2021","Mid Devon","E07000042",35636,17503,12501,4648,937,47
"2021","North Devon","E07000043",43197,20705,15124,6010,1268,90
"2021","South Hams","E07000044",39335,20843,13180,4431,830,51
"2021","Teignbridge","E07000045",59838,29571,20916,7761,1483,107
"2021","Torridge","E07000046",30459,14051,10950,4491,907,60
"2021","West Devon","E07000047",24818,12236,8733,3176,620,53
"2021","Cheltenham","E07000078",52899,29708,16236,5613,1260,82
"2021","Cotswold","E07000079",40597,23145,12909,3852,666,25
"2021","Forest of Dean","E07000080",37217,17898,12961,5208,1101,49
"2021","Gloucester","E07000081",55407,27115,18696,7514,1928,154
"2021","Stroud","E07000082",52378,28891,16912,5425,1093,57
"2021","Tewkesbury","E07000083",40931,22543,13270,4277,797,44
"2021","Mendip","E07000187",50294,25860,17103,6059,1211,61
"2021","Sedgemoor","E07000188",53904,25589,18944,7577,1703,91
"2021","South Somerset","E07000189",75936,38321,26119,9454,1938,104
"2021","Somerset West and Taunton","E07000246",69986,35265,23861,8879,1910,71
"2021","Isle of Anglesey","W06000001",30822,14683,10519,4533,1057,30
"2021","Gwynedd","W06000002",51105,25361,17040,7064,1573,67
"2021","Conwy","W06000003",52235,24098,18173,7918,1956,90
"2021","Denbighshire","W06000004",42387,18992,14579,6929,1785,102
"2021","Flintshire","W06000005",66911,32748,22435,9486,2155,87
"2021","Wrexham","W06000006",57914,27134,19578,8774,2333,95
"2021","Ceredigion","W06000008",30893,14553,11019,4395,898,28
"2021","Pembrokeshire","W06000009",55488,25547,19262,8565,2017,97
"2021","Carmarthenshire","W06000010",81759,37050,27869,13425,3324,91
"2021","Swansea","W06000011",104962,47764,34960,16952,5106,180
"2021","Neath Port Talbot","W06000012",62373,25834,20716,11856,3858,109
"2021","Bridgend","W06000013",62359,28315,20477,10372,3104,91
"2021","Vale of Glamorgan","W06000014",57451,29294,18575,7648,1866,68
"2021","Cardiff","W06000015",147333,72088,46638,21326,6862,419
"2021","Rhondda Cynon Taff","W06000016",103337,43372,34175,19521,6066,203
"2021","Caerphilly","W06000018",76257,32079,25365,14321,4358,134
"2021","Blaenau Gwent","W06000019",30340,11632,10104,6291,2256,57
"2021","Torfaen","W06000020",40241,17016,13738,7241,2166,80
"2021","Monmouthshire","W06000021",40925,21144,13592,5031,1115,43
"2021","Newport","W06000022",66054,30293,21796,10572,3204,189
"2021","Powys","W06000023",60182,29223,20871,8317,1713,58
"2021","Merthyr Tydfil","W06000024",25785,10364,8578,4955,1811,77
